订单日期,品类,区域,销售额,数量
2026-04-29,数码,西南,2943.84,10
2026-04-29,服饰,华南,2727.06,10
2026-04-30,数码,西南,5571.42,22
2026-04-30,美妆,华东,1451.43,3
2026-04-30,服饰,华北,1258.38,5
2026-05-01,美妆,西南,1460.33,7
2026-05-01,数码,华东,4577.24,13
2026-05-01,美妆,华南,1661.02,6
2026-05-02,家居,华北,3292.36,8
2026-05-02,家居,华中,3081.84,11
2026-05-02,美妆,华中,4884.85,25
2026-05-03,服饰,西南,3328.87,10
2026-05-03,食品,华中,3602.03,11
2026-05-03,服饰,华东,2733.07,8
2026-05-04,数码,华中,3247.44,8
2026-05-04,数码,西南,2342.33,9
2026-05-05,数码,华北,2985.75,15
2026-05-05,数码,华北,3014.61,12
2026-05-06,美妆,华南,1660.6,5
2026-05-06,食品,西南,2993.46,11
2026-05-06,数码,华南,4440.51,10
2026-05-07,食品,华东,2712.47,10
2026-05-07,美妆,华南,3104.15,8
2026-05-07,食品,华南,2624.79,12
2026-05-08,家居,西南,2652.01,6
2026-05-08,家居,华东,3695.39,10
2026-05-08,美妆,西南,2796.51,13
2026-05-09,美妆,华南,4585.45,18
2026-05-09,服饰,华东,3084.27,13
2026-05-09,家居,华北,4547.56,13
2026-05-10,家居,华南,1353.35,3
2026-05-10,服饰,西南,4514.18,10
2026-05-10,美妆,华东,3086.3,12
2026-05-11,家居,华南,2431.71,10
2026-05-11,服饰,西南,3431.18,8
2026-05-11,服饰,华北,2928.78,10
2026-05-12,食品,华北,3008.13,9
2026-05-12,家居,华东,1444.47,4
2026-05-12,食品,华南,1279.4,6
2026-05-13,家居,西南,3298.0,8
2026-05-13,美妆,华北,1504.15,4
2026-05-13,服饰,华中,2266.56,11
2026-05-13,服饰,华中,3611.77,11
2026-05-14,美妆,华北,2371.7,7
2026-05-14,服饰,华北,3598.02,9
2026-05-14,美妆,华南,1912.42,6
2026-05-15,数码,华东,3288.52,9
2026-05-15,服饰,华东,3615.81,11
2026-05-16,服饰,华东,4906.0,14
2026-05-16,数码,华东,5862.96,15
2026-05-16,服饰,华中,5057.16,23
2026-05-17,家居,华东,1397.25,4
2026-05-17,美妆,华南,2835.66,10
2026-05-17,家居,华南,4302.37,10
2026-05-18,食品,西南,3468.41,9
2026-05-18,家居,华南,3438.93,11
2026-05-18,服饰,华北,3519.85,8
2026-05-18,食品,华南,1128.42,4
2026-05-19,数码,华东,3806.5,13
2026-05-19,数码,西南,6217.27,15
2026-05-19,数码,华中,4596.38,25
2026-05-19,服饰,华南,2741.05,8
2026-05-20,美妆,华北,1385.98,3
2026-05-20,服饰,华北,2887.91,12
2026-05-20,食品,华东,2642.31,9
2026-05-20,家居,华南,1550.61,4
2026-05-21,家居,华南,2840.58,6
2026-05-21,数码,华东,5776.41,18
2026-05-21,食品,华东,1522.34,7
2026-05-22,家居,华北,1451.99,4
2026-05-22,家居,华北,1259.62,5
2026-05-22,服饰,华南,4050.8,12
2026-05-23,食品,华南,3633.95,17
2026-05-23,家居,华南,3134.12,16
2026-05-24,食品,华中,2202.53,5
2026-05-24,美妆,华中,1637.41,4
2026-05-25,美妆,华东,4232.06,18
2026-05-25,食品,华中,1986.73,8
2026-05-26,美妆,华中,3782.75,10
2026-05-26,数码,华北,2350.93,7
2026-05-26,服饰,华中,4322.82,12
2026-05-27,家居,华东,3050.73,7
2026-05-27,服饰,华北,2176.14,11
2026-05-28,家居,西南,2671.45,10
2026-05-28,家居,华中,1451.17,4
2026-05-28,服饰,华南,3057.31,16
2026-05-29,食品,华东,1694.97,4
2026-05-29,服饰,华东,3408.79,10
2026-05-29,美妆,华南,2427.67,7
2026-05-30,服饰,华北,2573.84,8
2026-05-30,食品,华南,4316.4,14
2026-05-30,数码,华中,3564.16,12
2026-05-31,家居,华中,4103.84,22
2026-05-31,家居,华中,2126.14,11
2026-05-31,数码,华中,7163.29,30
2026-06-01,服饰,西南,4150.37,11
2026-06-01,食品,西南,1155.57,3
2026-06-01,服饰,华北,1917.76,5
2026-06-01,食品,华南,1596.71,4
2026-06-02,食品,华中,3315.49,8
2026-06-02,美妆,华中,3740.9,18
2026-06-03,食品,华中,3196.03,8
2026-06-03,服饰,华北,1887.24,6
2026-06-04,美妆,华北,1505.37,4
2026-06-04,家居,华东,3664.72,9
2026-06-04,美妆,华北,4314.25,17
2026-06-04,美妆,华北,3021.69,11
2026-06-05,美妆,西南,2375.74,9
2026-06-05,家居,西南,2189.41,5
2026-06-05,美妆,华东,1959.8,5
2026-06-06,食品,西南,2063.84,5
2026-06-06,家居,华南,1928.44,5
2026-06-06,家居,华中,4279.03,21
2026-06-07,服饰,华南,5235.32,25
2026-06-07,服饰,华北,3876.79,13
2026-06-08,食品,华东,1752.03,5
2026-06-08,食品,华北,1620.52,7
2026-06-08,数码,华南,5947.06,17
2026-06-08,家居,华南,3009.76,13
2026-06-09,服饰,华南,1300.31,6
2026-06-09,数码,华南,3271.82,11
2026-06-09,食品,华中,1413.03,4
2026-06-10,家居,华东,1379.0,4
2026-06-10,服饰,华北,1841.12,5
2026-06-11,食品,华南,3175.01,8
2026-06-11,数码,华北,4337.4,18
2026-06-11,家居,华中,2306.64,7
2026-06-11,服饰,华东,4079.52,22
2026-06-12,美妆,西南,3887.47,16
2026-06-12,美妆,华东,3942.39,17
2026-06-12,数码,华南,4372.19,12
2026-06-12,数码,华东,6709.11,28
2026-06-13,美妆,华南,4747.34,14
2026-06-13,食品,华中,3104.36,7
2026-06-13,美妆,西南,4998.24,12
2026-06-14,美妆,华南,3651.97,8
2026-06-14,家居,华北,4039.19,11
2026-06-14,数码,华中,5892.32,17
2026-06-15,数码,华东,6419.64,17
2026-06-15,食品,华中,1766.6,4
2026-06-15,家居,华南,3852.46,11
2026-06-16,食品,华北,3365.03,8
2026-06-16,食品,西南,2068.57,6
2026-06-16,食品,华北,3569.95,10
2026-06-17,服饰,华北,3251.86,16
2026-06-17,服饰,华中,2056.13,5
2026-06-17,服饰,华东,2746.05,14
2026-06-18,数码,华北,5612.13,17
2026-06-18,服饰,华北,3021.03,14
2026-06-19,数码,华北,2330.78,5
2026-06-19,食品,华东,1053.48,2
2026-06-19,食品,华东,2457.08,13
2026-06-20,家居,华东,1622.54,4
2026-06-20,美妆,华南,4410.09,13
2026-06-20,数码,西南,3113.52,10
2026-06-21,服饰,华东,2583.83,11
2026-06-21,数码,华东,5520.28,14
2026-06-22,食品,华北,3150.86,10
2026-06-22,美妆,华北,2718.18,8
2026-06-22,数码,华南,3491.95,15
2026-06-23,家居,华东,2708.36,13
2026-06-23,服饰,华中,3664.92,10
2026-06-23,服饰,西南,3169.2,11
2026-06-23,数码,西南,3996.01,21
2026-06-24,食品,华南,3479.94,9
2026-06-24,美妆,西南,1986.75,8
2026-06-24,美妆,西南,3966.08,12
2026-06-25,食品,华南,2656.79,13
2026-06-25,家居,西南,2922.92,7
2026-06-25,服饰,西南,3449.72,11
2026-06-26,食品,西南,1400.39,4
2026-06-26,美妆,西南,3426.47,9
2026-06-27,数码,西南,6789.43,25
2026-06-27,家居,华南,2106.73,6
2026-06-27,服饰,华南,3428.5,9
2026-06-28,家居,华北,2743.28,11
2026-06-28,服饰,华南,5275.62,29
2026-06-28,家居,华北,3063.48,9
2026-06-28,美妆,西南,4198.55,14
2026-06-29,服饰,华北,4010.53,9
2026-06-29,美妆,华南,3627.99,11
2026-06-29,美妆,西南,2119.79,6
2026-06-30,食品,西南,1789.82,5
2026-06-30,服饰,华北,3581.29,10
2026-06-30,数码,华东,7137.53,36
2026-07-01,美妆,华南,2132.88,5
2026-07-01,服饰,华东,4089.0,18
2026-07-01,家居,华北,3348.52,11
2026-07-02,数码,华东,5629.15,15
2026-07-02,家居,华北,2139.85,11
2026-07-03,服饰,华北,3816.86,10
2026-07-03,数码,华北,5410.15,28
2026-07-03,服饰,华南,3627.56,15
2026-07-03,食品,西南,2794.18,11
2026-07-04,美妆,华北,4415.35,19
2026-07-04,数码,华中,6782.91,21
2026-07-04,数码,华东,2819.12,10
2026-07-04,家居,华中,2451.72,8
2026-07-05,数码,华中,3659.0,10
2026-07-05,食品,华南,1931.06,10
2026-07-06,服饰,华南,4288.85,13
2026-07-06,服饰,西南,4024.75,20
2026-07-06,服饰,华东,4118.5,22
2026-07-07,食品,华北,2818.56,6
2026-07-07,服饰,华东,3793.94,9
2026-07-08,家居,西南,2177.08,5
2026-07-08,数码,华中,6509.2,23
2026-07-08,家居,华东,3190.22,11
2026-07-08,家居,华南,2655.53,8
2026-07-09,美妆,华北,2945.72,11
2026-07-09,食品,华中,1587.56,5
2026-07-09,家居,华中,3199.18,17
2026-07-09,家居,华南,3761.35,17
2026-07-10,家居,华东,2012.48,7
2026-07-10,服饰,华北,4454.09,11
2026-07-10,食品,华东,2847.0,12
2026-07-10,美妆,华东,3583.84,10
2026-07-11,食品,华中,3553.92,8
2026-07-11,服饰,华东,2248.2,8
2026-07-11,美妆,华东,4172.13,14
2026-07-11,家居,西南,4700.49,24
2026-07-12,食品,华东,2358.06,6
2026-07-12,服饰,华北,4668.55,21
2026-07-13,数码,华南,3437.45,13
2026-07-13,美妆,华北,1254.81,4
2026-07-13,数码,华南,7438.42,21
2026-07-14,家居,华南,3168.42,9
2026-07-14,服饰,西南,3845.59,14
2026-07-14,服饰,西南,1695.48,5
2026-07-15,家居,西南,3812.9,18
2026-07-15,家居,华中,3317.41,11
2026-07-15,服饰,华南,1897.51,10
2026-07-16,家居,华南,2614.83,9
2026-07-16,家居,华南,1192.24,3
2026-07-17,家居,华南,1427.28,4
2026-07-17,家居,西南,1732.65,6
2026-07-18,服饰,华北,4584.97,12
2026-07-18,数码,西南,3166.98,9
2026-07-18,食品,华中,2296.82,8
2026-07-18,服饰,华北,3164.05,8
2026-07-19,数码,华中,7496.2,22
2026-07-19,食品,华中,1708.39,7
2026-07-19,家居,华南,1617.71,5
2026-07-20,家居,华北,1306.25,4
2026-07-20,家居,华北,2612.56,8
2026-07-20,服饰,华中,3962.56,13
2026-07-21,家居,西南,3539.78,17
2026-07-21,家居,华东,2124.38,5
2026-07-22,家居,华东,1282.26,6
2026-07-22,美妆,华北,3722.49,10
2026-07-22,美妆,西南,4039.06,14
2026-07-23,美妆,华中,2538.41,8
2026-07-23,数码,华中,5741.5,23
2026-07-23,家居,西南,3750.06,10
2026-07-24,美妆,华东,4118.25,10
2026-07-24,美妆,华东,1498.46,5
2026-07-25,数码,华南,4955.25,20
2026-07-25,服饰,华北,2900.84,8
2026-07-26,服饰,华中,3124.62,12
2026-07-26,服饰,华中,2106.03,8
2026-07-26,服饰,华北,3680.44,14
2026-07-26,食品,西南,1877.95,7
2026-07-27,服饰,华北,2138.93,5
2026-07-27,美妆,华中,3124.68,7
2026-07-27,服饰,华中,3311.85,9
2026-07-28,数码,华中,5146.28,15
2026-07-28,数码,西南,5599.62,20
2026-07-28,美妆,华中,2745.83,7
2026-07-29,家居,西南,1972.41,5
2026-07-29,数码,西南,5868.34,28
2026-07-30,服饰,华中,1764.91,4
2026-07-30,美妆,华中,3400.28,14
2026-07-30,服饰,华南,1890.58,6
2026-07-31,服饰,华中,4151.67,11
2026-07-31,家居,华东,2132.2,7
2026-07-31,美妆,西南,1382.16,6
2026-08-01,数码,华中,3343.19,11
2026-08-01,美妆,华东,2615.43,10
2026-08-01,美妆,华南,2643.82,9
2026-08-01,数码,华中,4105.65,12
2026-08-02,美妆,华中,1533.57,4
2026-08-02,服饰,华东,5568.51,24
2026-08-03,家居,华南,2192.36,5
2026-08-03,食品,华南,1156.28,3
2026-08-03,美妆,华北,2198.65,5
2026-08-04,美妆,华南,2908.72,7
2026-08-04,数码,华北,5555.96,13
2026-08-04,服饰,西南,4405.63,12
2026-08-05,服饰,华南,1582.82,4
2026-08-05,美妆,西南,3349.15,14
2026-08-06,家居,西南,2942.95,10
2026-08-06,数码,华东,4118.08,11
2026-08-06,数码,西南,4072.05,17
2026-08-07,服饰,华南,2338.65,10
2026-08-07,家居,华中,2921.64,8
2026-08-07,家居,西南,2324.8,6
2026-08-08,数码,华南,3571.83,11
2026-08-08,家居,华中,4313.12,16
2026-08-09,家居,华中,3124.67,9
2026-08-09,数码,华南,10476.76,45
2026-08-09,美妆,华南,3706.69,9
2026-08-10,服饰,华中,2428.43,7
2026-08-10,数码,华南,3744.5,10
2026-08-10,数码,华中,4429.99,14
2026-08-11,家居,华中,3849.24,10
2026-08-11,服饰,西南,1512.75,3
2026-08-11,美妆,华北,2377.42,8
2026-08-11,服饰,华中,3118.53,12
2026-08-12,食品,华南,1150.07,4
2026-08-12,食品,西南,3566.5,13
2026-08-12,食品,华北,3043.5,7
2026-08-12,家居,华东,1722.13,6
2026-08-13,食品,西南,1160.12,3
2026-08-13,家居,西南,2560.34,8
2026-08-14,食品,华北,2220.25,10
2026-08-14,家居,西南,3331.91,8
2026-08-15,食品,华中,2941.27,13
2026-08-15,数码,华南,8138.25,39
2026-08-15,家居,西南,3779.39,9
2026-08-16,家居,华东,4653.12,25
2026-08-16,家居,华南,3314.51,9
2026-08-17,数码,华南,3937.01,17
2026-08-17,服饰,华南,3536.06,9
2026-08-17,家居,西南,3843.75,9
2026-08-17,食品,华东,2045.18,5
2026-08-18,家居,华南,2477.29,6
2026-08-18,服饰,华南,3242.21,11
2026-08-18,食品,华中,1962.93,10
2026-08-19,服饰,华东,4603.34,22
2026-08-19,家居,华中,3695.34,11
2026-08-20,食品,华南,1895.01,5
2026-08-20,服饰,华南,3666.93,11
2026-08-21,食品,西南,2583.34,10
2026-08-21,数码,华北,2845.75,7
2026-08-22,家居,华北,4269.23,10
2026-08-22,数码,华中,4013.44,12
2026-08-22,数码,西南,6759.83,20
2026-08-23,数码,华南,7081.4,39
2026-08-23,美妆,华中,1413.05,5
2026-08-23,美妆,华东,3634.06,10
2026-08-24,服饰,华东,2170.46,6
2026-08-24,美妆,华中,2554.37,6
2026-08-25,食品,华东,1888.43,7
2026-08-25,服饰,西南,4432.15,13
2026-08-26,家居,华东,1472.96,6
2026-08-26,数码,华南,2551.96,7
2026-08-26,食品,华中,3749.69,15
2026-08-27,数码,华中,7586.63,23
2026-08-27,美妆,华北,2677.29,6
2026-08-27,家居,华中,3777.11,10
2026-08-28,美妆,华北,1761.48,7
2026-08-28,数码,华南,3925.95,9
2026-08-28,家居,华中,2945.2,9
2026-08-29,食品,华东,2138.91,7
2026-08-29,服饰,华东,2334.13,5
2026-08-29,食品,华东,3850.36,20
2026-08-30,服饰,华北,4087.51,11
2026-08-30,食品,华东,3402.31,9
2026-08-30,美妆,华北,2704.8,11
2026-08-31,食品,华东,2554.99,10
2026-08-31,食品,华北,2752.03,11
2026-08-31,家居,华北,2538.87,10
2026-09-01,服饰,西南,1635.07,4
2026-09-01,食品,西南,3273.48,10
2026-09-01,服饰,西南,4297.99,20
2026-09-01,服饰,西南,1649.32,4
2026-09-02,数码,华北,6821.18,19
2026-09-02,食品,华北,3466.16,18
2026-09-03,食品,华南,3249.22,8
2026-09-03,食品,华北,1700.42,4
2026-09-03,美妆,华南,3404.27,12
2026-09-03,美妆,华中,2574.34,6
2026-09-04,数码,西南,8553.41,21
2026-09-04,食品,华北,3820.71,14
2026-09-05,服饰,华中,2009.12,6
2026-09-05,服饰,华中,3066.2,7
2026-09-06,美妆,华东,3342.53,12
2026-09-06,美妆,华南,1652.93,4
2026-09-06,服饰,华中,3819.05,10
2026-09-07,食品,西南,1175.12,2
2026-09-07,数码,华东,7253.58,34
2026-09-07,食品,华中,2178.33,7
2026-09-08,服饰,华中,1822.16,6
2026-09-08,食品,华东,2672.95,6
2026-09-08,食品,华中,3281.68,11
2026-09-08,家居,华东,2263.57,6
